SA2,Buddhism_P,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_P,Christianity_Brethren_P,Christianity_Catholic_P,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_P,Christianity_Christian_nfd_P,Christianity_Othr_Christian_P,Hinduism_P,Islam_P,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_P,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_P,Religious_affiliation_ns_P,tot_p
1145,137,496,0,32,0,1354,3,332,6,3,27,3,10,35,59,7,4,140,137,0,37,65,54,0,7,37,4804,73,28,1086,8976
1146,203,778,0,115,0,1876,11,257,8,12,7,26,17,27,160,6,6,306,128,0,128,93,48,0,12,14,2907,16,0,542,7703
1147,809,1542,0,357,0,3150,19,638,3,10,65,28,79,133,278,27,11,582,330,6,454,122,39,0,33,41,5665,26,18,1294,15759
1148,1074,1520,0,365,0,4428,12,1748,0,11,28,59,119,211,251,9,10,622,443,3,522,251,103,0,67,79,6586,27,6,1601,20155
1149,456,2317,0,276,0,4788,30,880,12,25,61,16,42,126,391,15,6,812,362,6,504,148,135,4,39,39,7820,63,18,1808,21199
1150,385,1868,3,248,3,3587,24,804,28,8,62,15,23,22,292,6,10,678,219,12,278,77,292,0,17,24,5980,37,20,1183,16205
1151,716,2043,0,239,0,4358,3,510,6,9,103,23,62,125,350,0,6,628,338,7,945,624,208,0,37,37,8942,95,34,2450,22898
1152,415,1352,0,138,0,2890,4,463,21,0,39,22,40,81,248,13,5,434,206,3,534,251,294,0,38,51,6015,82,7,1468,15114
1153,757,2156,3,287,0,6197,26,1099,3,7,71,34,35,93,276,6,3,727,410,0,388,127,171,0,57,87,9026,83,27,2408,24564
1154,147,509,0,68,0,1823,0,470,3,0,6,24,24,14,95,0,0,162,96,0,95,38,57,0,10,31,2189,28,4,552,6445
1155,405,2128,0,346,5,3199,11,442,12,3,66,17,53,64,363,40,3,750,336,11,237,59,75,0,29,15,6217,36,24,1302,16248
1156,474,462,6,134,0,3802,3,1360,3,13,26,65,21,79,124,0,3,200,276,10,137,176,6,0,15,60,2686,3,15,859,11018
1157,1202,1226,0,386,0,3643,68,2131,20,30,37,87,112,191,369,28,17,553,519,10,287,513,87,0,111,136,7024,17,3,1584,20391
1159,538,1260,0,347,0,3971,37,1659,0,0,36,200,97,139,302,10,0,421,400,8,303,546,58,4,134,116,4627,25,8,1261,16507
1160,502,995,0,238,4,3435,36,1618,9,8,46,85,94,130,216,6,6,389,341,0,167,247,54,0,18,54,3613,33,6,1167,13517
1161,680,1963,0,653,0,4040,103,619,10,24,137,12,96,198,414,70,51,928,689,30,540,233,13,0,223,75,7826,59,37,1649,21372
1162,498,911,0,315,3,2118,52,538,15,21,57,10,85,93,205,113,29,432,326,13,170,92,17,0,48,33,3614,20,10,921,10759
1163,1237,1151,0,385,0,3117,28,408,0,30,85,3,102,120,283,104,13,552,536,3,604,261,24,0,64,70,8617,52,20,1833,19702
1164,920,1413,0,454,0,3309,53,648,12,5,72,16,121,158,342,33,12,618,454,4,325,187,24,0,62,66,6945,46,22,1156,17477
1165,848,758,0,229,3,2089,9,586,14,15,39,3,60,84,196,12,12,370,260,6,492,265,50,3,50,45,4682,20,6,963,12169
1166,759,574,0,246,0,1834,11,1067,14,11,21,12,24,85,204,19,3,353,221,3,381,131,3,0,64,36,3331,8,3,750,10168
1167,280,1049,0,234,0,2064,16,263,11,6,51,0,46,61,251,13,0,448,214,9,174,36,13,0,35,10,3767,36,6,771,9864
1168,118,2241,0,109,0,3081,3,454,11,22,49,14,28,38,272,5,3,562,223,12,32,43,51,0,0,36,4821,16,23,1158,13425
1169,362,3802,0,134,0,5097,10,798,13,0,86,17,32,32,409,7,10,661,242,9,71,70,743,0,0,24,7652,45,36,2221,22583
1170,240,2002,0,57,0,3562,4,769,9,0,35,10,39,19,279,0,3,495,173,0,157,73,1332,0,22,27,5017,27,10,1416,15777
1171,119,1203,0,87,3,2474,16,519,0,0,49,6,20,57,224,3,6,308,140,3,127,102,104,0,24,34,4297,12,20,915,10872
1172,179,2235,0,66,0,4238,0,692,21,3,50,31,14,37,322,6,3,580,229,3,105,95,272,0,43,19,6619,40,15,1628,17545
1173,151,2465,4,110,0,3578,7,531,9,0,77,17,56,39,338,0,3,643,199,8,48,57,103,0,8,15,6365,40,20,1464,16355
1174,439,1797,0,179,0,4821,12,1413,18,13,60,34,35,43,320,9,0,676,376,13,522,119,1608,0,38,67,7787,51,37,1821,22308
1176,575,1053,0,127,0,2977,11,920,50,6,30,14,25,75,217,4,3,405,235,9,1539,198,1141,0,51,49,6680,50,19,1494,17957
1177,309,799,0,47,0,2036,0,444,22,3,10,0,17,27,96,0,5,127,119,0,429,104,8619,0,13,28,5179,54,21,2255,20763
1178,236,761,0,48,3,1931,13,804,15,3,24,16,11,26,105,0,8,228,173,9,267,76,6272,0,34,36,4410,21,24,1775,17329
1179,194,782,0,37,0,2039,0,384,0,0,31,6,9,28,107,0,0,173,111,0,185,36,1906,0,7,20,4061,40,20,1085,11261
1180,199,431,0,83,0,1539,3,1103,13,3,27,24,8,32,80,3,9,163,108,4,498,63,63,0,33,24,2348,26,10,653,7550
1181,273,574,0,63,0,2028,0,719,9,0,29,38,15,17,118,3,3,218,179,7,529,95,286,0,34,20,3192,30,21,708,9208
1182,348,688,0,84,0,2185,0,630,25,3,34,26,36,46,125,0,0,242,191,7,1543,152,1231,0,86,45,4427,23,19,1138,13334
1183,468,788,0,105,0,2569,15,510,17,20,18,19,12,96,144,6,14,207,181,7,295,149,50,0,19,30,2560,3,8,629,8939
1185,223,1432,0,71,0,2949,17,419,16,4,38,54,24,51,252,6,9,392,255,4,88,71,21,0,6,17,3967,15,26,1069,11496
1186,198,1598,0,149,0,3592,15,460,32,25,38,34,19,47,309,3,12,347,275,6,97,54,64,0,41,36,5180,23,38,1465,14157
1187,104,628,0,60,0,1509,0,166,14,19,9,4,4,22,100,6,3,139,111,0,80,63,0,0,15,6,1768,10,4,402,5246
1188,414,2072,0,189,0,5300,60,1613,47,28,44,17,39,105,449,10,6,603,412,7,444,317,362,0,104,51,7386,73,20,1911,22083
1189,128,1325,0,79,5,3728,3,361,6,14,42,10,22,49,317,15,13,346,222,3,93,47,35,0,3,24,4636,9,23,1132,12690
1190,217,1272,0,124,0,3237,6,735,26,18,16,13,13,82,222,0,6,359,212,8,158,125,118,0,43,30,4701,24,15,1067,12847
